Sample	Series	Platform	Speak	Breakpoint_CNA	Breakpoint_CBS	Spread	Label
GSM514388	GSE20481	GPL2005	5.6769365835347	42	74	0.341202729863809	1
GSM514396	GSE20481	GPL2005	3.87782782615514	42	67	0.368314496247062	1
GSM514402	GSE20481	GPL2005	4.72641192228726	28	37	0.343588556353121	1
GSM514411	GSE20481	GPL2005	3.48626520579181	22	35	0.33545555954096	1
GSM514413	GSE20481	GPL2005	6.54570584773573	73	101	0.311586545914746	1
GSM514416	GSE20481	GPL2005	3.64214340430701	26	36	0.360766805692571	1
GSM514421	GSE20481	GPL2005	5.1399091786083	19	38	0.291343969848307	1
GSM514426	GSE20481	GPL2005	3.51083233491669	21	47	0.385191001702856	1
GSM514428	GSE20481	GPL2005	3.20515357253475	18	62	0.308072033639484	1
GSM514439	GSE20481	GPL2005	3.62954825813237	56	79	0.393719502341172	1
GSM514444	GSE20481	GPL2005	2.68097856155606	25	59	0.340447836011107	1
GSM514447	GSE20481	GPL2005	3.848592034932	14	34	0.344885615934834	1
GSM514452	GSE20481	GPL2005	6.13530340892486	17	35	0.377749677995166	1
GSM514454	GSE20481	GPL2005	3.69641281482272	19	40	0.321879662968404	1
GSM514461	GSE20481	GPL2005	2.30569450893335	13	31	0.321349850016284	1
GSM514475	GSE20481	GPL2005	1.53321878633174	120	27	0.330059820212379	1
GSM514480	GSE20481	GPL2005	4.46697093440672	27	50	0.388011144834314	1
GSM514488	GSE20481	GPL2005	4.35754399337389	26	40	0.366792505458328	1
GSM514489	GSE20481	GPL2005	5.02500502689303	19	30	0.271863117671744	1
GSM514495	GSE20481	GPL2005	6.04020588671158	49	73	0.36678132509068	1
GSM514497	GSE20481	GPL2005	6.63974717299297	17	52	0.359565463874814	1
GSM514504	GSE20481	GPL2005	2.66345359830025	12	54	0.34399465455773	1
GSM514508	GSE20481	GPL2005	4.03769904197754	49	67	0.35991613269892	1
GSM514529	GSE20481	GPL2005	3.57160069475202	34	55	0.363536148318092	1
GSM514542	GSE20481	GPL2005	4.42416358042602	32	62	0.272527678850432	1
GSM514548	GSE20481	GPL2005	3.13382002516172	30	64	0.401076168945348	1
GSM514559	GSE20481	GPL2005	5.80325368568421	21	71	0.281683112175784	1
GSM516869	GSE20565	GPL2005	6.13849285405706	25	54	0.380286377148876	1
GSM516871	GSE20565	GPL2005	3.63278974801711	35	73	0.367415671395903	1
GSM608968	GSE24715	GPL2005	4.54741946613488	11	26	0.274294931878055	1
GSM608970	GSE24715	GPL2005	3.66372113866361	12	37	0.275864003162749	1
GSM608972	GSE24715	GPL2005	2.82489668129786	15	36	0.325094923127602	1
GSM608985	GSE24715	GPL2005	3.25541716510527	13	60	0.366102520126524	1
GSM608989	GSE24715	GPL2005	3.39954826938356	21	36	0.321486062045372	1
GSM608990	GSE24715	GPL2005	4.05285635557784	17	54	0.345810315878714	1
GSM608992	GSE24715	GPL2005	4.8702863970313	16	52	0.322148655988758	1
GSM608997	GSE24715	GPL2005	3.60060611132208	11	22	0.362803979918392	1
GSM609004	GSE24715	GPL2005	5.97485262958951	23	30	0.274698902343295	1
GSM174833	GSE7255	GPL3718	4.18513551471192	7	29	0.234209152219355	1
GSM174839	GSE7255	GPL3718	5.94979318349598	14	26	0.266610189210419	1
GSM174842	GSE7255	GPL3718	4.36621980306545	9	26	0.243732331878167	1
GSM174844	GSE7255	GPL3718	11.3918836497801	15	28	0.263900059266451	1
